Character,Country,Popularity_Score,Avg_Episodes_Watched_Per_Year,Merchandise_Revenue_MillionUSD,Pop_Score_Scaled,Avg_Episodes_Scaled,Merch_Rev_Scaled
Shinchan,Canada,74.06677446676758,80.0,3.949924724368964,0.7503151604008902,0.436812182688723,-1.269048566106128
Paw Patrol,France,80.58192518328079,48.0,22.31606244865129,0.9602596826785411,-0.3699434830043187,-0.93592089088564
Spongebob Squarepants,Russia,37.85343772083535,127.5,183.7495147752829,-0.4166251014620505,1.634340123951832,1.9921825287727628
Motu Patlu,Uk,83.41104266407503,50.0,27.430804382862224,1.0514252970774929,-0.3195212538985036,-0.8431489583500524
Mr Bean,Egypt,76.83135775923722,9.0,40.715313915210565,0.8394012220883377,-1.3531769505677134,-0.6021925937952645
Mr Bean,Russia,74.49889820916066,100.0,89.88446547664522,0.7642399361442359,0.9410344737468741,0.28964462305020616
Shinchan,China,42.215996679968406,53.0,47.33693889068305,-0.27604579694007525,-0.24388791023978093,-0.4820885976597751
Shinchan,France,29.350012864742613,5.0,87.70944109744121,-0.6906398628721635,-1.4540214087793435,0.2501937147607537
Motu Patlu,Australia,53.937903011962575,72.0,60.29551386156268,0.10168146251017812,0.23512326626546257,-0.24704408154944954
Motu Patlu,Saudi Arabia,48.59904633166138,73.0,13.710754985476516,-0.07035810557130245,0.2603343808183701,-1.092005208274529
Mickey Mouse,Australia,67.16869596382831,71.0,76.62796725880435,0.5280311551724773,0.20991215171255503,0.04919633178887971
Doraemon,Canada,33.04284890804987,60.0,22.20944392967342,-0.5716417410026583,-0.06741010836942805,-0.9378547530778848
Pokemon,Uk,41.1102276049738,11.0,183.7495147752829,-0.31167815147805056,-1.3027547214618982,1.9921825287727628
Mr Bean,China,24.98064478821005,61.0,85.7407223543689,-0.8314385847125977,-0.04219899381652051,0.2144848080821554
Shinchan,Brazil,86.46503940302155,26.0,98.54557553419286,1.1498374312389532,-0.9245880031682848,0.4467410960057022
Paw Patrol,Australia,57.91802908162562,100.0,5.9640913891314025,0.22993723166411625,0.9410344737468741,-1.232515318418902
Paw Patrol,Uae,40.37755513182775,77.0,59.85739619981068,-0.33528782361821485,0.36117883903000036,-0.2549907233705831
Motu Patlu,Canada,64.55007888376495,14.0,62.49476629381619,0.44364871556005603,-1.2271213778031755,-0.20715372131268703
Tom And Jerry,Canada,83.37449546398071,124.5,80.90289438324909,1.050247598387432,1.5587067802931092,0.12673558125342282
Shinchan,Uk,15.544790977499046,31.0,21.15613392041784,-1.1354999804912778,-0.7985324304037471,-0.9569598431048351
Doraemon,France,13.081966070170225,37.5,55.616361691512736,-1.2148621658221752,-0.634660185809848,-0.3319152236377924
Tom And Jerry,Saudi Arabia,4.1828858168857845,15.0,21.797577295635648,-1.5016265453093418,-1.2019102632502678,-0.9453252499432376
Mickey Mouse,Canada,81.07717199403969,8.0,183.7495147752829,0.976218539137652,-1.3783880651206208,1.9921825287727628
Mr Bean,Uk,47.06900210859904,63.0,82.23310171618463,-0.11966232238095077,0.008223235289294601,0.1508630751791703
Motu Patlu,France,67.95181183602637,47.0,12.418833433291333,0.5532663177697067,-0.39515459755722626,-1.1154382691448983
Shinchan,Italy,11.564578402933046,29.0,71.16974309958289,-1.2637585371832665,-0.8489546595095622,-0.049805731262719165
Mr Bean,Italy,12.462531566436772,69.0,41.43089795330247,-1.2348228523246376,0.15948992260673991,-0.5892132265154866
Mickey Mouse,Uae,83.37251693040575,31.0,175.25548001511754,1.0501838420287108,-0.7985324304037471,1.8381164918424822
Pokemon,Brazil,66.38538363049987,16.0,183.7495147752829,0.5027896618025676,-1.1766991486973604,1.9921825287727628
Mr Bean,Japan,57.567089940931815,54.0,25.154459518265448,0.21862855233383655,-0.21867679568687337,-0.8844376323286122
Shinchan,Nigeria,91.74700144554402,22.0,67.09019552604896,1.3200436238440476,-1.025432461379915,-0.12380115803804818
Peppa Pig,South Korea,89.72081032332622,65.0,75.42590186355064,1.2547515460845797,0.05864546439510971,0.02739309495185911
Mr Bean,Germany,89.30268327903168,24.0,69.70103141760617,1.241277800597267,-0.9750102322741,-0.07644543720041348
Mickey Mouse,Mexico,69.55229864979681,78.0,4.751136824445943,0.604840479926395,0.3863899535829079,-1.2545160645936144
Mickey Mouse,Uae,27.293531176325654,54.0,183.7495147752829,-0.7569080252575917,-0.21867679568687337,1.9921825287727628
Peppa Pig,Saudi Arabia,64.27496480093357,64.0,26.75547507801117,0.434783426450858,0.03343434984220216,-0.855398179428029
Motu Patlu,France,74.90242610828507,49.0,7.793218674824172,0.7772432380928236,-0.34473236845141114,-1.1993383418812829
Doraemon,South Africa,21.796454090650364,78.0,61.11750189520224,-0.9340460951030679,0.3863899535829079,-0.23213474313458116
Shinchan,Saudi Arabia,39.66544415166273,14.0,83.22659174425152,-0.35823492124413525,-1.2271213778031755,0.1688831416935954
Shinchan,Usa,37.05708762180562,48.0,42.58581534334093,-0.4422867244054463,-0.3699434830043187,-0.5682651670491481
Pokemon,Nigeria,80.8199218806756,66.0,183.7495147752829,0.9679288994184652,0.08385657894801726,1.9921825287727628
Motu Patlu,Russia,33.63966198913752,46.0,21.99986516779416,-0.5524100082845766,-0.4203657121101338,-0.9416561231192365
Motu Patlu,Australia,48.85778468487874,93.0,71.47239824079955,-0.0620205087412791,0.7645566718765212,-0.04431612832602037
Mr Bean,South Africa,99.6631463959332,50.0,27.82072627064344,1.575133850026803,-0.3195212538985036,-0.8360764984815627
Paw Patrol,Australia,72.45850010930516,72.0,98.0705524157888,0.6984900520710022,0.23512326626546257,0.43812505764828996
Paw Patrol,Usa,12.62794929584089,67.0,2.2142749341752888,-1.2294924236535127,0.10906769350092481,-1.3005300342451642
Motu Patlu,Japan,62.94457069519983,24.0,94.96343859344508,0.3919127443864598,-0.9750102322741,0.38176777557725755
Peppa Pig,Nigeria,29.735313251738734,59.0,62.48170478614271,-0.6782239251293469,-0.09262122292233561,-0.20739063283711656
Mr Bean,Canada,0.2675722602885733,81.0,4.231345682711504,-1.6277937930022597,0.46202329724163055,-1.2639441118643946
Mr Bean,Saudi Arabia,42.51389661042116,87.0,27.29761469242338,-0.2664462556083712,0.6132899845590759,-0.8455647723118832
Peppa Pig,Russia,94.26762407440408,68.0,60.20562954206926,1.4012682856645307,0.13427880805383235,-0.24867441639943982
Mr Bean,Saudi Arabia,76.47603800317762,78.0,75.87061421084316,0.8279513816030408,0.3863899535829079,0.03545935213774185
Peppa Pig,Japan,32.10582559565716,25.0,69.67369372435982,-0.6018364241716445,-0.9497991177211924,-0.07694129225354246
Pokemon,Uk,51.45962523291051,89.0,140.20697445969677,0.02182132311606457,0.663712213664891,1.2024016044280723
Pokemon,Egypt,88.08466173578056,8.0,183.7495147752829,1.2020282172570675,-1.3783880651206208,1.9921825287727628
Shinchan,Uk,83.21431737689012,96.0,70.83575136265952,1.0450860121959804,0.8401900155352439,-0.055863721926539114
Tom And Jerry,Nigeria,6.981007960623053,87.0,78.98402317066513,-1.411459726105529,0.6132899845590759,0.09193081632723615
Peppa Pig,China,33.24399557107493,53.0,32.855957672674705,-0.5651599814986907,-0.24388791023978093,-0.744746739534031
Mickey Mouse,Mexico,82.0747551709555,68.0,40.49514213338844,1.00836470622155,0.13427880805383235,-0.6061861015718388
Shinchan,China,15.436121877154886,38.0,69.57775526010133,-1.1390017386778188,-0.6220546285333942,-0.07868143806113932
Mickey Mouse,South Africa,6.8420747181551445,41.0,183.7495147752829,-1.4159367174273845,-0.5464212848746716,1.9921825287727628
Pokemon,India,29.33677759652088,23.0,125.37936944574588,-0.691066356776132,-1.0002213468270076,0.9334563497676711
Mickey Mouse,Saudi Arabia,25.39773394135423,6.0,141.18021689101454,-0.8179982842783955,-1.428810294226436,1.2200544170900494
Peppa Pig,France,99.93735655001792,18.0,57.62034654272315,1.5839700108936707,-1.1262769195915452,-0.29556665516451064
Mickey Mouse,Usa,83.28388996731884,34.0,107.639323883089,1.0473279226132106,-0.7228990867450245,0.6116848251656282
Tom And Jerry,Usa,57.95738053684028,24.0,33.34519344568703,0.23120529480270693,-0.9750102322741,-0.7358729099817884
Spongebob Squarepants,Brazil,48.18478298737412,150.0,183.7495147752829,-0.08370734700835644,2.2015902013922517,1.9921825287727628
Mickey Mouse,Spain,26.445857835242386,52.0,183.7495147752829,-0.7842234907602026,-0.2690990247926885,1.9921825287727628
Mr Bean,Egypt,64.76523806394415,64.0,30.91682727839577,0.45058201507404605,0.03343434984220216,-0.7799189684420973
Pokemon,Egypt,67.04862188501713,74.0,183.7495147752829,0.5241618824248724,0.2855454953712777,1.9921825287727628
Mickey Mouse,Spain,23.61126382309957,92.0,183.7495147752829,-0.875565581162204,0.7393455573236136,1.9921825287727628
Pokemon,Uae,33.3509156432516,77.0,183.7495147752829,-0.5617145840778565,0.36117883903000036,1.9921825287727628
Tom And Jerry,France,12.99921314434368,40.5,86.7783409621733,-1.2175287999854798,-0.5590268421511253,0.23330528518913013
Doraemon,South Korea,47.62459654232502,105.0,45.74853657096647,-0.10175882128878418,1.067090046511412,-0.5108992697796092
Paw Patrol,India,40.161725451256046,67.0,44.91267060693786,-0.34224272936830225,0.10906769350092481,-0.526060328112774
Peppa Pig,Italy,29.489774594988983,60.0,70.47616243606055,-0.6861361743212753,-0.06741010836942805,-0.06238599813677198
Mr Bean,South Korea,41.59896502614953,59.0,26.23408985179514,-0.29592905389418633,-0.09262122292233561,-0.864855140434807
Shinchan,Spain,58.646508273947695,47.0,41.67005465929366,0.2534117793263257,-0.39515459755722626,-0.584875367425227
Doraemon,Spain,15.473017585826144,27.0,56.07028213432836,-1.1378128096310278,-0.8993768886153773,-0.32368194867708583
